Ahaus	Regierungsbezirk Muenster, North Rhine-Westphalia	162877	8	38165	52.07936	7.01344
Ahausen	Lower Saxony	11201165	10	1769	53.06667	9.31667
Ahausen	Lower Saxony	965596	8	1769	53.06667	9.31667
Ahetze	Pyrenees-Atlantiques, Nouvelle-Aquitaine	166888	8	1422	43.40561	-1.57138
Ahigal	Provincia de Caceres, Extremadura	343357	8	1583	40.18954	-6.18815
Ahigal de Villarino	Provincia de Salamanca, Castille and Leon	341880	8	42	41.15819	-6.38037
Ahigal de los Aceiteros	Provincia de Salamanca, Castille and Leon	341881	8	164	40.87231	-6.74702
Ahillones	Provincia de Badajoz, Extremadura	346529	8	1101	38.26667	-5.85
Ahirli	Konya	1250964	6	0	37.23874	32.11881
Ahlat	Bitlis	1836396	6	64695	38.7489	42.48007
Ahlbeck	Mecklenburg-Vorpommern	1408072	8	3444	53.66972	14.18622
Ahlbeck	Mecklenburg-Vorpommern	7933198	9	3444	53.66972	14.18622
Ahlden	Lower Saxony	1808860	8	1573	52.75968	9.55115
Ahlen	Regierungsbezirk Muenster, North Rhine-Westphalia	152285	8	55280	51.76338	7.8887
Ahlerstedt	Lower Saxony	446435	8	5063	53.4	9.45
Ahmadnagar	Ahmadnagar, Maharashtra	10347872	6	367140	19.09457	74.73843
Ahmadpur	Latur, Maharashtra	10348489	6	40218	18.70622	76.93731
Ahmetli	Manisa	1761487	6	11377	38.5196	27.93865
Ahnsbeck	Lower Saxony	1797682	8	1667	52.61071	10.28534
Ahnsen	Lower Saxony	1169362	8	1233	52.25466	9.10089
Aholfing	Lower Bavaria, Bavaria	959667	8	1735	48.94283	12.46857
Aholming	Lower Bavaria, Bavaria	959803	8	2234	48.73542	12.90997
Ahorn	Upper Franconia, Bavaria	956872	8	4624	50.23762	10.95417
Ahoskie	Hertford County, North Carolina	179691	8	4910	36.28682	-76.98468
Ahrbrueck	Rheinland-Pfalz	1021829	8	1228	50.48225	6.98804
Ahrensbok	Schleswig-Holstein	382442	8	8643	54.00862	10.57434
Ahrensburg	Schleswig-Holstein	453746	8	30103	53.67515	10.22593
Ahsen-Oetzen	Lower Saxony	5679206	10	1384	52.95868	9.07933
Ahtanum	Yakima County, Washington	237532	8	3601	46.55957	-120.62201
Ahuac	Provincia de Chupaca, Junin	1948271	8	0	-12.06667	-75.35
Ahuacatlan	Ahuacatlan, Nayarit	5605473	6	6754	21.05405	-104.48398
Ahuacuotzingo	Ahuacuotzingo, Guerrero	5605474	6	3517	17.71431	-98.93492
Ahualulco de Mercado	Ahualulco de Mercado, Jalisco	5605477	6	15512	20.70137	-103.97461
Ahuatempan	Santa Ines Ahuatempan, Puebla	6037790	6	4105	18.41269	-98.0185
Ahuatlan	Ahuatlan, Puebla	6037581	6	1026	18.57276	-98.25692
Ahuazotepec	Ahuazotepec, Puebla	6037582	6	2351	20.04535	-98.16332
Ahuehuetitla	Ahuehuetitla, Puebla	6037583	6	1210	18.21272	-98.21949
Ahuehuetitlan	San Miguel Ahuehuetitlan, Oaxaca	5999869	6	1969	17.6713	-98.32024
Ahuille	Mayenne, Pays de la Loire	420307	8	1451	48.02076	-0.87071
Ahun	Creuse, Nouvelle-Aquitaine	118074	8	1583	46.08578	2.04489
Ahus	Kristianstads kommun, Skane	2897498	8	9840	55.91667	14.28333
Ahuy	Cote d'Or, Bourgogne-Franche-Comte	145207	8	1408	47.36944	5.02089
Ahvaz	Khuzestan	6566414	7	841145	31.31901	48.6842
